name,sub_area,area,grade,star_count,popular
Backside Crack,Get Carter Boulder,Buttermilk Country,0,2.5,58
Burned and Bare,Get Carter Boulder,Buttermilk Country,0,2.5,19
Roadside Crack,Get Carter Boulder,Buttermilk Country,1,2.5,54
To Kill Ya Corner,Get Carter Boulder,Buttermilk Country,3,3,46
Perry's Pose,Get Carter Boulder,Buttermilk Country,3,3,8
Grommit,Get Carter Boulder,Buttermilk Country,4,3.5,26
The Ruckus (aka Seven Spanish An…,Get Carter Boulder,Buttermilk Country,6,4,313
Unnamed,Get Carter Boulder,Buttermilk Country,7,3.5,8
Get Carter,Get Carter Boulder,Buttermilk Country,7,3,32
Adam Cocaine,Get Carter Boulder,Buttermilk Country,8,2,1
Flecheros,Get Carter Boulder,Buttermilk Country,8,4,1
To Kill Ya Corner Sit Start,Get Carter Boulder,Buttermilk Country,9,3,3
Michael Caine,Get Carter Boulder,Buttermilk Country,9,3,12
Twin Cracks,Get Carter Boulder,Buttermilk Country,9,3.5,26
Seven Spanish Angels Sit,Get Carter Boulder,Buttermilk Country,10,3.5,4
Each One Teach One,Get Carter Boulder,Buttermilk Country,11,3.5,2
A Scanner Darkly,Get Carter Boulder,Buttermilk Country,12,3.5,4
Michael Caine Sit Start,Get Carter Boulder,Buttermilk Country,12,3,1
Checkerboard Crack,Get Carter Boulder,Buttermilk Country,5,2,4
Checkerboard Direct,Get Carter Boulder,Buttermilk Country,8,1,1
Checkerboard,Get Carter Boulder,Buttermilk Country,8,4,82
Checkerboard Right,Get Carter Boulder,Buttermilk Country,9,3,2
King Me,Get Carter Boulder,Buttermilk Country,10,3,1
Edge of Reason,Get Carter Boulder,Buttermilk Country,3,3,11
"No Sense, No Reason",Get Carter Boulder,Buttermilk Country,5,3,14
Colin Goes Mental,Get Carter Boulder,Buttermilk Country,7,2.5,3
Freeze Short,Get Carter Boulder,Buttermilk Country,8,4,1
Freeze All Cylinders,Get Carter Boulder,Buttermilk Country,8,2.5,6
Knight,Get Carter Boulder,Buttermilk Country,5,2.5,2
Draughts,Get Carter Boulder,Buttermilk Country,0,2,1
Kings and Castles,Get Carter Boulder,Buttermilk Country,6,2.5,2
"Overseer, left",Get Carter Boulder,Buttermilk Country,3,2,1
Fall Out,Get Carter Boulder,Buttermilk Country,3,2,1
