name,sub_area,area,grade,star_count,popular
Off Width His Head!,East Bluff 05 Potholes Area,Devil's Lake,1,1.5,2
Watermarks Traverse,East Bluff 05 Potholes Area,Devil's Lake,2,3,4
Grand Finale,East Bluff 06 Balanced Rock,Devil's Lake,13,3,1
One-Upper,East Bluff 06 Balanced Rock,Devil's Lake,8,2.5,2
Makeover,East Bluff 06 Balanced Rock,Devil's Lake,10,2.5,3
Wiessner Boulder,East Bluff 06 Balanced Rock,Devil's Lake,2,2,1
Hambone Arete,East Bluff 01 Sandstone Area,Devil's Lake,3,2,1
Chair Bivy,East Bluff 01 Sandstone Area,Devil's Lake,0,3.5,4
Big Head,East Bluff 04 East Rampart,Devil's Lake,1,2.5,4
Unnamed BP,East Bluff 04 East Rampart,Devil's Lake,1,2,2
The Entrance,West Bluff 03 Cleo Amphitheater,Devil's Lake,8,2,1
Jalapeño Jr,West Bluff 03 Cleo Amphitheater,Devil's Lake,2,4,1
Flying Fish,West Bluff 03 Cleo Amphitheater,Devil's Lake,5,2.5,6
Double Fin,West Bluff 03 Cleo Amphitheater,Devil's Lake,0,2,2
Stride Right,West Bluff 03 Cleo Amphitheater,Devil's Lake,1,2.5,3
Leap Year,West Bluff 03 Cleo Amphitheater,Devil's Lake,2,3,1
February 29,West Bluff 04 Great Tower Area,Devil's Lake,2,1,2
Squirrel Nuts,West Bluff 04 Great Tower Area,Devil's Lake,8,4,1
Easy Street,West Bluff 02 Misery Rocks The Pantry,Devil's Lake,1,1.5,22
Baby's First Chimney,West Bluff 02 Misery Rocks The Pantry,Devil's Lake,8,1.5,2
Entrance Slab,West Bluff 02 Misery Rocks The Pantry,Devil's Lake,1,2,61
The Clinger,West Bluff 02 Misery Rocks The Pantry,Devil's Lake,9,1.5,11
Pit Crack,East Bluff 08 North End,Devil's Lake,2,2,19
The Whole Shack Shimmy,East Bluff 08 North End,Devil's Lake,10,2,14
Scammy Fly-By-Night Superpac,East Bluff 02 East Of The Quarry,Devil's Lake,2,1.5,9
Dirty Whale,East Bluff 02 East Of The Quarry,Devil's Lake,10,2,11
Corner Crack,East Bluff 02 East Of The Quarry,Devil's Lake,2,2,42
Pocket Problem,East Bluff 02 East Of The Quarry,Devil's Lake,8,2,47
Classic Warm Up,East Bluff 02 East Of The Quarry,Devil's Lake,0,3.5,117
Easy on Backside of Burma,East Bluff 02 East Of The Quarry,Devil's Lake,0,3,41
Baby Powder,East Bluff 02 East Of The Quarry,Devil's Lake,0,3,1
The Scoop,East Bluff 02 East Of The Quarry,Devil's Lake,0,2.5,22
Quaker Oats,East Bluff 02 East Of The Quarry,Devil's Lake,0,1.5,11
The Jug Haul,East Bluff 02 East Of The Quarry,Devil's Lake,0,2,24
V-Dyno,East Bluff 02 East Of The Quarry,Devil's Lake,0,2.5,55
Ding Dong,East Bluff 02 East Of The Quarry,Devil's Lake,0,1.5,12
Second Degree,Devils Lake Bouldering,Devil's Lake,1,2.5,9
Shorty,Devils Lake Bouldering,Devil's Lake,1,2,35
Arete Right of Warm Up,Devils Lake Bouldering,Devil's Lake,1,2.5,13
Act of Valor,Devils Lake Bouldering,Devil's Lake,1,1.5,26
Horse Pens Special,Devils Lake Bouldering,Devil's Lake,1,2,5
Head Over Heels,Devils Lake Bouldering,Devil's Lake,2,3,69
Heels Over Head,Devils Lake Bouldering,Devil's Lake,2,1.5,17
Chicken Shack Crack,Devils Lake Bouldering,Devil's Lake,2,3.5,2
The Nose,Devils Lake Bouldering,Devil's Lake,2,2.5,13
traverse,Devils Lake Bouldering,Devil's Lake,2,2,10
"Face left of ""The Scoop""",Devils Lake Bouldering,Devil's Lake,2,2,2
Banana Split,Devils Lake Bouldering,Devil's Lake,2,2.5,26
Super Sloper,Devils Lake Bouldering,Devil's Lake,2,2.5,13
Sloper Problem,Devils Lake Bouldering,Devil's Lake,2,2.5,60
Murder Slab,Devils Lake Bouldering,Devil's Lake,3,3,63
Banana Split,Devils Lake Bouldering,Devil's Lake,3,2.5,26
