name,sub_area,area,grade,star_count,popular
The Bathtub,Beach Boulders,Gold Bar Boulders,1,1,2
The Slip 'N' Slide,Beach Boulders,Gold Bar Boulders,2,1.5,2
Message Comma Er,Beach Boulders,Gold Bar Boulders,3,3,1
The Leap of Faith,Beach Boulders,Gold Bar Boulders,4,2.5,3
Dorris Day,Beach Boulders,Gold Bar Boulders,5,3,1
Buquah,Beach Boulders,Gold Bar Boulders,6,0,0
J-High,Beach Boulders,Gold Bar Boulders,7,3.5,2
Downclimb/Inserene,Beach Boulders,Gold Bar Boulders,0,1.5,15
Highway Crack,Beach Boulders,Gold Bar Boulders,1,3,3
Insanity Later,Beach Boulders,Gold Bar Boulders,2,2,15
Superman,Beach Boulders,Gold Bar Boulders,4,2,6
Serenity Now / Debbie Does Dallas,Beach Boulders,Gold Bar Boulders,4,4,48
Ryan's Problem / Climax Control,Beach Boulders,Gold Bar Boulders,6,3.5,41
Chemical Imbalance,Beach Boulders,Gold Bar Boulders,8,2.5,10
No Hands,Serene Area Boulders,Gold Bar Boulders,0,2.5,4
Moss on my skateboard,Serene Area Boulders,Gold Bar Boulders,0,2.5,2
Green Shag Carpet,Serene Area Boulders,Gold Bar Boulders,1,2.5,3
Camp Raucous,Serene Area Boulders,Gold Bar Boulders,1,3,3
Chimney Sweep,Serene Area Boulders,Gold Bar Boulders,1,2.5,3
Quarter Pipe,Serene Area Boulders,Gold Bar Boulders,2,2.5,4
Broken Bowsaw,Serene Area Boulders,Gold Bar Boulders,3,2,7
Hoppípolla,Serene Area Boulders,Gold Bar Boulders,0,4,1
Passing Rain,Serene Area Boulders,Gold Bar Boulders,3,3,1
Shoe Puddles,Serene Area Boulders,Gold Bar Boulders,3,3,1
Scissor Grip,Serene Area Boulders,Gold Bar Boulders,4,3,1
Pumpkin Pie,Serene Area Boulders,Gold Bar Boulders,1,2.5,3
You Smell Like Winter,Serene Area Boulders,Gold Bar Boulders,2,2.5,2
Taken for Granite,Serene Area Boulders,Gold Bar Boulders,3,2.5,6
Fire ball shooter,Serene Area Boulders,Gold Bar Boulders,1,4,1
Fireball shooter,Serene Area Boulders,Gold Bar Boulders,1,4,1
Tarasky,Serene Area Boulders,Gold Bar Boulders,3,2,1
Jaws,Serene Area Boulders,Gold Bar Boulders,4,3.5,18
Jaws From the Depth (Sit Start),Serene Area Boulders,Gold Bar Boulders,6,2.5,4
Jaws Left,Serene Area Boulders,Gold Bar Boulders,6,4,5
Sunspots,Serene Area Boulders,Gold Bar Boulders,2,3.5,4
Sunspots direct,Serene Area Boulders,Gold Bar Boulders,3,2,1
The Baby Fader,Serene Area Boulders,Gold Bar Boulders,4,3.5,5
World's Best V7,Serene Area Boulders,Gold Bar Boulders,7,4,37
World’s Best Low Start,Serene Area Boulders,Gold Bar Boulders,8,4,2
Lightning Crack,Serene Area Boulders,Gold Bar Boulders,9,4,7
Lightning Arete Sit,Serene Area Boulders,Gold Bar Boulders,0,3,1
Less of a Superhero,Serene Area Boulders,Gold Bar Boulders,5,4,1
Squirrels stole my shoe,Serene Area Boulders,Gold Bar Boulders,5,3,1
Unexpected Inquisition,Serene Area Boulders,Gold Bar Boulders,4,4,2
Strappado,Serene Area Boulders,Gold Bar Boulders,4,3,1
One Armed Robbery,Serene Area Boulders,Gold Bar Boulders,6,3,1
Justin's Redemption Crack,Serene Area Boulders,Gold Bar Boulders,7,3,1
Shark Fin,Serene Area Boulders,Gold Bar Boulders,0,3,1
Tectonic Slab,Serene Area Boulders,Gold Bar Boulders,3,2.5,6
The Layback,Serene Area Boulders,Gold Bar Boulders,0,3,2
Overdose on Gummies,Reiter Foothills,Gold Bar Boulders,1,2,1
Tall Cool White One,Reiter Foothills,Gold Bar Boulders,2,3,1
Tsuga,Reiter Foothills,Gold Bar Boulders,3,2.5,9
Que Sol,Reiter Foothills,Gold Bar Boulders,4,2,4
Que Luna,Reiter Foothills,Gold Bar Boulders,6,3,1
Flower,Reiter Foothills,Gold Bar Boulders,2,1.5,3
Bob's Balls,Reiter Foothills,Gold Bar Boulders,3,3.5,16
Spinal Snap,Reiter Foothills,Gold Bar Boulders,5,1.5,5
Obesity,Reiter Foothills,Gold Bar Boulders,7,4,67
Glen's Problem,Reiter Foothills,Gold Bar Boulders,7,3,4
Joel's Problem,Reiter Foothills,Gold Bar Boulders,7,3,1
