name,sub_area,area,grade,star_count,popular
Yellow Wall Right,Bouldering,Grand Ledge (aka Oak Park),0,2,6
Rocket Man,Bouldering,Grand Ledge (aka Oak Park),1,4,2
The Tooth,Bouldering,Grand Ledge (aka Oak Park),1,2.5,9
Yellow Wall Traverse,Bouldering,Grand Ledge (aka Oak Park),1,3,4
Highball aka Pocket Problem,Bouldering,Grand Ledge (aka Oak Park),1,3.5,41
By Crackie,Bouldering,Grand Ledge (aka Oak Park),1,1,1
Under the Rainbow,Bouldering,Grand Ledge (aka Oak Park),1,2.5,4
Under the Mermaid,Bouldering,Grand Ledge (aka Oak Park),1,1,1
Diagonal Crack,Bouldering,Grand Ledge (aka Oak Park),1,1,1
Asinine Behavior,Bouldering,Grand Ledge (aka Oak Park),1,2,1
Unknown E,Bouldering,Grand Ledge (aka Oak Park),1,2,2
Rocket Power,Bouldering,Grand Ledge (aka Oak Park),1,2,3
Saving Grace,Bouldering,Grand Ledge (aka Oak Park),1,2.5,3
Diving Board,Bouldering,Grand Ledge (aka Oak Park),1,3,13
Shorty's Delight,Bouldering,Grand Ledge (aka Oak Park),1,1.5,4
Viper,Bouldering,Grand Ledge (aka Oak Park),2,2.5,10
Finesse,Bouldering,Grand Ledge (aka Oak Park),2,2,2
Living on the Ledge,Bouldering,Grand Ledge (aka Oak Park),2,2.5,10
Pigeon Shit Direct,Bouldering,Grand Ledge (aka Oak Park),2,2.5,2
Buns Machine Gun High,Bouldering,Grand Ledge (aka Oak Park),2,2.5,6
The Mantle Problem,Bouldering,Grand Ledge (aka Oak Park),2,2.5,16
The Pretzel,Bouldering,Grand Ledge (aka Oak Park),2,2,1
Conscientious Objection,Bouldering,Grand Ledge (aka Oak Park),2,2,1
Cold Turkey,Bouldering,Grand Ledge (aka Oak Park),2,2,1
No Soap,Bouldering,Grand Ledge (aka Oak Park),2,2,1
Slag Traverse,Bouldering,Grand Ledge (aka Oak Park),2,1.5,3
Cowabunga Direct,Bouldering,Grand Ledge (aka Oak Park),3,3,6
"Mantle Problem Variation, The",Bouldering,Grand Ledge (aka Oak Park),3,2.5,14
Despondency,Bouldering,Grand Ledge (aka Oak Park),3,4,6
Top Tier Dyno,Bouldering,Grand Ledge (aka Oak Park),3,2.5,5
The Trick,Bouldering,Grand Ledge (aka Oak Park),3,3.5,13
Odie,Bouldering,Grand Ledge (aka Oak Park),3,2,3
From Japan,Bouldering,Grand Ledge (aka Oak Park),3,2,6
Astral Projection,Bouldering,Grand Ledge (aka Oak Park),3,3.5,2
Astral Traverse,Bouldering,Grand Ledge (aka Oak Park),3,2,1
May Day,Bouldering,Grand Ledge (aka Oak Park),3,2,1
Le Plie,Bouldering,Grand Ledge (aka Oak Park),3,2,1
Garfield,Bouldering,Grand Ledge (aka Oak Park),3,2,2
Grady,Bouldering,Grand Ledge (aka Oak Park),3,2.5,7
Low Rider,Bouldering,Grand Ledge (aka Oak Park),3,2.5,2
Desperado,Bouldering,Grand Ledge (aka Oak Park),4,3,1
Gen X,Bouldering,Grand Ledge (aka Oak Park),4,2,1
Intimidator Direct,Bouldering,Grand Ledge (aka Oak Park),4,2,3
Grady Low,Bouldering,Grand Ledge (aka Oak Park),4,2.5,2
Buns Machine Gun,Bouldering,Grand Ledge (aka Oak Park),4,3,6
Walk on By,Bouldering,Grand Ledge (aka Oak Park),4,3.5,10
Despondency Natural,Bouldering,Grand Ledge (aka Oak Park),4,3.5,2
Snowflakes,Bouldering,Grand Ledge (aka Oak Park),4,1,2
Rated X aka The Mermaid,Bouldering,Grand Ledge (aka Oak Park),4,3.5,3
Bonsai,Bouldering,Grand Ledge (aka Oak Park),4,2.5,4
The Treat,Bouldering,Grand Ledge (aka Oak Park),4,3,6
WG Cudney Eliminate,Bouldering,Grand Ledge (aka Oak Park),4,2,2
Intimidator Direct,Bouldering,Grand Ledge (aka Oak Park),4,2,3
More Power Scotty,Bouldering,Grand Ledge (aka Oak Park),5,2.5,4
Thailand,Bouldering,Grand Ledge (aka Oak Park),5,2.5,4
Purple Haze,Bouldering,Grand Ledge (aka Oak Park),5,3.5,3
Frank's Problem,Bouldering,Grand Ledge (aka Oak Park),5,2.5,3
Ballerina,Bouldering,Grand Ledge (aka Oak Park),5,4,7
Inappropriate Behavior,Bouldering,Grand Ledge (aka Oak Park),5,4,1
Suicide Machine,Bouldering,Grand Ledge (aka Oak Park),5,2,2
Up Yours Direct,Bouldering,Grand Ledge (aka Oak Park),5,2.5,3
Poxson's Pockets Problem aka Cof…,Bouldering,Grand Ledge (aka Oak Park),5,3,5
Pick Your Battles,Bouldering,Grand Ledge (aka Oak Park),5,1.5,4
The Trick Direct,Bouldering,Grand Ledge (aka Oak Park),5,3,5
Wheeties Left,Bouldering,Grand Ledge (aka Oak Park),5,2.5,2
Climb or die,Bouldering,Grand Ledge (aka Oak Park),6,3.5,4
Ride or die,Bouldering,Grand Ledge (aka Oak Park),6,3,5
Revelations,Bouldering,Grand Ledge (aka Oak Park),6,3,1
Homeostasis,Bouldering,Grand Ledge (aka Oak Park),6,3.5,4
Mermaid Direct,Bouldering,Grand Ledge (aka Oak Park),6,3,2
Two Peace,Bouldering,Grand Ledge (aka Oak Park),6,3.5,4
Insomnia,Bouldering,Grand Ledge (aka Oak Park),6,2,2
Intergalactic Quaalude Trip,Bouldering,Grand Ledge (aka Oak Park),6,3,1
Max Scene Arete,Bouldering,Grand Ledge (aka Oak Park),6,3,5
Blind Faith,Bouldering,Grand Ledge (aka Oak Park),6,3,3
Ballerina Right,Bouldering,Grand Ledge (aka Oak Park),6,3.5,2
Heart and Soul Direct,Bouldering,Grand Ledge (aka Oak Park),6,3,1
Scofic Scam aka Professor P,Bouldering,Grand Ledge (aka Oak Park),6,3,5
Wheeties,Bouldering,Grand Ledge (aka Oak Park),7,3,7
A Comedy of Terrors,Bouldering,Grand Ledge (aka Oak Park),7,3.5,3
