name,sub_area,area,grade,star_count,popular
Variations,Mollusk Boulder,Holy Boulders,1,2.5,54
Boomer,Mollusk Boulder,Holy Boulders,1,2,40
Lowrider,Mollusk Boulder,Holy Boulders,2,2.5,65
Lowrider Traverse,Mollusk Boulder,Holy Boulders,2,2.5,46
The Mollusk,Mollusk Boulder,Holy Boulders,3,3.5,231
El Pinto,Mollusk Boulder,Holy Boulders,3,2.5,20
Con Artist,Mollusk Boulder,Holy Boulders,7,3,12
The Scrappy Nudist,Mollusk Boulder,Holy Boulders,0,2,1
Easy slab,Mollusk Boulder,Holy Boulders,1,3.5,3
Spread,Mollusk Boulder,Holy Boulders,1,3,1
V2 Slab,Mollusk Boulder,Holy Boulders,2,2.5,9
Pants Off Dance Off,Mollusk Boulder,Holy Boulders,2,3,1
Tennis Shoe Arete,Mollusk Boulder,Holy Boulders,2,2.5,74
KFC,Mollusk Boulder,Holy Boulders,3,3,160
Reflection of a Man,Shadow Of A Man Area,Holy Boulders,3,2,4
Comfortably Numb,Shadow Of A Man Area,Holy Boulders,4,3,59
Fat Lip,Shadow Of A Man Area,Holy Boulders,4,2.5,20
Seafoam Arete,Shadow Of A Man Area,Holy Boulders,4,3,27
Face climb,Shadow Of A Man Area,Holy Boulders,4,2,1
Shadow of a Man,Shadow Of A Man Area,Holy Boulders,5,4,147
Comfortably Numb Arete,Shadow Of A Man Area,Holy Boulders,5,2.5,8
Seams Easy,Shadow Of A Man Area,Holy Boulders,5,3.5,28
Secret of Davenport,Shadow Of A Man Area,Holy Boulders,6,2.5,16
Vulture Fest,Shadow Of A Man Area,Holy Boulders,6,3,1
Shadow of a Man Sit,Shadow Of A Man Area,Holy Boulders,6,3,23
Davenport of a Man,Shadow Of A Man Area,Holy Boulders,6,3,2
Shadow of Davenport,Shadow Of A Man Area,Holy Boulders,7,2.5,3
The Order of Mirth,Shadow Of A Man Area,Holy Boulders,2,2.5,2
Enlightenment,Shadow Of A Man Area,Holy Boulders,4,3.5,105
White Castle,Shadow Of A Man Area,Holy Boulders,5,3,1
Undercling King,Shadow Of A Man Area,Holy Boulders,6,3.5,44
Genesis,Shadow Of A Man Area,Holy Boulders,7,2.5,3
Onyx,Shadow Of A Man Area,Holy Boulders,7,3.5,43
