name,sub_area,area,grade,star_count,popular
Runner,Icicle Creek,Leavenworth,0,2,62
Slabstraction,Icicle Creek,Leavenworth,0,1.5,49
Marathon Man,Icicle Creek,Leavenworth,0,2,79
Squeezer,Icicle Creek,Leavenworth,2,2,12
Lock and Pop,Icicle Creek,Leavenworth,3,2.5,56
Purple Lover Eater,Icicle Creek,Leavenworth,8,2.5,9
Purple Lover Eater Direct aka Sq…,Icicle Creek,Leavenworth,8,2.5,6
Street Justice,Icicle Creek,Leavenworth,7,3.5,3
Street Justice Right,Icicle Creek,Leavenworth,9,4,5
Breadline,Icicle Creek,Leavenworth,0,3,208
Concavity,Icicle Creek,Leavenworth,0,2,75
Breadline Variation,Icicle Creek,Leavenworth,2,2.5,73
Concavity Variation,Icicle Creek,Leavenworth,2,2,15
The Real Thing,Icicle Creek,Leavenworth,4,3.5,303
Lock and Load,Icicle Creek,Leavenworth,4,2.5,2
One Summer,Icicle Creek,Leavenworth,5,2.5,53
Ain't Nothing But a V Thang,Icicle Creek,Leavenworth,5,3.5,10
Endless Summer,Icicle Creek,Leavenworth,7,3,5
Backdoor Ass Attack,Icicle Creek,Leavenworth,7,3,38
Joe's Traverse,Icicle Creek,Leavenworth,8,3,4
The Sideways Thing,Icicle Creek,Leavenworth,8,3,2
Sidedoor,Icicle Creek,Leavenworth,12,2,1
Power Steering,Icicle Creek,Leavenworth,2,2.5,58
Arrested Development,Icicle Creek,Leavenworth,4,3,122
Fiend it Like a Crack,Icicle Creek,Leavenworth,4,3,57
Feel The Pinch,Icicle Creek,Leavenworth,5,3.5,90
Forgotten Gold?,Icicle Creek,Leavenworth,6,4,1
Candy Corn,Icicle Creek,Leavenworth,6,4,3
Busted Stand,Icicle Creek,Leavenworth,6,3.5,69
Cruise Control,Icicle Creek,Leavenworth,6,3,92
The Shield,Icicle Creek,Leavenworth,7,3.5,93
Busta pinch,Icicle Creek,Leavenworth,8,3.5,20
Busted,Icicle Creek,Leavenworth,8,3.5,147
The Drill Sargeant,Icicle Creek,Leavenworth,8,2,17
Bedroom Bully,Icicle Creek,Leavenworth,9,2,2
Autopilot,Icicle Creek,Leavenworth,11,3,1
Toto,Icicle Creek,Leavenworth,4,2.5,190
Silly with an S,Icicle Creek,Leavenworth,0,1.5,11
Hearthstone,Icicle Creek,Leavenworth,0,1.5,18
Cowardly Lion,Icicle Creek,Leavenworth,0,1.5,65
Dredge,Icicle Creek,Leavenworth,1,1.5,24
Scarecrow,Icicle Creek,Leavenworth,1,2,71
Hearthstone Yabo,Icicle Creek,Leavenworth,3,1,1
Dirty and Deep,Icicle Creek,Leavenworth,1,2,3
Sunny and Steep,Icicle Creek,Leavenworth,2,3.5,270
Bron-Yr-Aur,Icicle Creek,Leavenworth,2,2.5,4
Funny and Cheap,Icicle Creek,Leavenworth,5,3,61
Slickfoot Holiday,Icicle Creek,Leavenworth,1,2.5,43
Fedge,Icicle Creek,Leavenworth,2,2.5,31
Lovage,Icicle Creek,Leavenworth,3,3,146
Slickfoot holiday direct AKA Squ…,Icicle Creek,Leavenworth,4,3.5,4
Fight Milk,Icicle Creek,Leavenworth,7,3,1
The Physical,Icicle Creek,Leavenworth,4,3.5,107
Clod-Hopper,Icicle Creek,Leavenworth,2,2,1
The Ruminator,Icicle Creek,Leavenworth,5,4,30
Noggin' Banger,Icicle Creek,Leavenworth,7,3,7
Dangle,Icicle Creek,Leavenworth,7,3,34
Kobe Tai,Icicle Creek,Leavenworth,8,4,33
The Coffee Cup,Icicle Creek,Leavenworth,9,4,30
The Practitioner,Icicle Creek,Leavenworth,11,4,5
Trickle of Silence,Icicle Creek,Leavenworth,10,4,5
The Monarch,Icicle Creek,Leavenworth,11,4,2
Feel the Rhythm,Icicle Creek,Leavenworth,0,1.5,3
It's Bobsled Time,Icicle Creek,Leavenworth,0,1,1
Feel the Rhyme,Icicle Creek,Leavenworth,0,2.5,3
Slab Sheriff,Icicle Creek,Leavenworth,3,3.5,4
Moondog,Icicle Creek,Leavenworth,0,2,6
Tahitian Moon,Icicle Creek,Leavenworth,0,1.5,10
Unknown V2,Icicle Creek,Leavenworth,2,2.5,3
Bad Moon Rising,Icicle Creek,Leavenworth,2,3.5,54
DKMFP,Icicle Creek,Leavenworth,3,2,2
Johnny's Problem,Icicle Creek,Leavenworth,10,4,1
Kobra Kon,Icicle Creek,Leavenworth,9,4,6
The Saucer,Icicle Creek,Leavenworth,3,2.5,5
Unknown Tall v1  Near Sunny and…,Icicle Creek,Leavenworth,1,2,5
Bacon Stone,Icicle Creek,Leavenworth,0,2,1
Golden Egg,Icicle Creek,Leavenworth,0,2,1
Cool Down,Icicle Creek,Leavenworth,0,2.5,47
Fridge Slab,Icicle Creek,Leavenworth,0,2.5,73
Fridge Door,Icicle Creek,Leavenworth,2,2.5,49
Cellar Door,Icicle Creek,Leavenworth,3,2.5,53
Midnight Snack,Icicle Creek,Leavenworth,3,1.5,3
Jungle Jim,Icicle Creek,Leavenworth,3,2.5,2
Jumping Spiders,Icicle Creek,Leavenworth,4,1.5,17
Cool it Down,Icicle Creek,Leavenworth,4,1.5,2
The Fridge Center,Icicle Creek,Leavenworth,4,3.5,291
The Fridge Arete,Icicle Creek,Leavenworth,5,3.5,154
The Lizard,Icicle Creek,Leavenworth,5,2,26
Fridge Center (Variation),Icicle Creek,Leavenworth,5,4,8
The Fridge Left,Icicle Creek,Leavenworth,8,3.5,40
Played Like a Poop Butt,Icicle Creek,Leavenworth,0,2.5,46
Cubicle Gangster,Icicle Creek,Leavenworth,0,2.5,47
X1,Icicle Creek,Leavenworth,1,2.5,38
X2,Icicle Creek,Leavenworth,2,2.5,23
Bowled Over,Icicle Creek,Leavenworth,3,2,5
White Sands,Icicle Creek,Leavenworth,3,3,12
Wolf Pack,Icicle Creek,Leavenworth,4,1,2
Played Like a Poop Butt Low,Icicle Creek,Leavenworth,6,2.5,33
The Hourglass,Icicle Creek,Leavenworth,6,3.5,118
Cole's Corner,Icicle Creek,Leavenworth,9,2.5,23
The Prism,Icicle Creek,Leavenworth,9,4,11
The Sheath,Icicle Creek,Leavenworth,2,4,1
You Dog You (aka The Sword),Icicle Creek,Leavenworth,3,4,94
Ride or Die,Icicle Creek,Leavenworth,5,3.5,3
Seam of Pain,Icicle Creek,Leavenworth,5,3,2
The Dagger,Icicle Creek,Leavenworth,6,2,2
Zweihänder,Icicle Creek,Leavenworth,7,3,1
Resurrection,Icicle Creek,Leavenworth,8,3.5,37
Zorro,Icicle Creek,Leavenworth,8,3.5,7
The Stairway,Icicle Creek,Leavenworth,0,2,24
Sofa King,Icicle Creek,Leavenworth,0,2,27
The Standard,Icicle Creek,Leavenworth,1,2,10
I <3 Jugs,Icicle Creek,Leavenworth,2,2.5,81
"Classic, The",Icicle Creek,Leavenworth,2,3.5,83
The Wizard,Icicle Creek,Leavenworth,4,2.5,23
Off the Couch,Icicle Creek,Leavenworth,6,3.5,33
The Taint,Icicle Creek,Leavenworth,0,1.5,29
The Crack,Icicle Creek,Leavenworth,0,2.5,75
Dingleberry Junction,Icicle Creek,Leavenworth,0,1.5,2
Racing Stripes,Icicle Creek,Leavenworth,0,2.5,4
