name,sub_area,area,grade,star_count,popular
Offwidth Problem,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2.5,10
In the Presence of Greatness,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,0,0
Zach Galifianakis,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2.5,6
Ped Xing,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,2
Abominable Traverse,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,3,1
Afternoon Direct,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,3,2
Afternoon Delight,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,4
Innocuous,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,6,3,1
Crimp Slap,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,3.5,5
Shimmy Shimmy Ya,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,46
Pondering Physics,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1,5
It’s Medicinal,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,5
Moss Man,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,1.5,5
Easily Amused,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,3,7
Starter Pack,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2.5,18
I think I lost my footholds,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2.5,6
What Just Bit Me,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,3,45
Choss Direct,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,2
Gateway,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,12
Lukewarm Sausage,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,3,57
Psychedelic Schoolteacher,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,43
Campus Ousside,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,6
Campus Traverse,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,11
Slot Machine,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,17
Pocket Rocket,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,13
The Teets,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,13
Rocktober Festival,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2.5,10
Power Play,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,3,20
Dry Route,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,2.5,31
Blind Spot,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,3,18
Lunge or Plunge,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,3,34
Hang Ten,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,3.5,14
Duplicity,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,2,1
Skull Crusher,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,6,3,20
Indoor v7,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,6,2.5,6
Double Blind (Blindspot Low),Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,3,4
Dingus Prince,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,2,1
Lunge or Plunge Low,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,3,7
Anxious Arrival,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,3,11
Three Blind Mice,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,3.5,2
Stella,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,8,3,3
Fable,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,8,3,3
Hey look Ma I made it.,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,8,2,7
Everything’s comin’ up aces,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,9,1.5,3
Properly Teased (AKA Fresh Squee…,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,3,1
Cautionary Tale Direct,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,2,1
Fresh Squeezed,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,6,3.5,22
Spore,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,6,1,1
Cautionary Tale,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,7,2,2
Sifter,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2.5,2
Glass Traverse,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,3,1
401k,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1.5,5
Uptight Neighbors,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,7
1.5 Kids,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,5
Two Cars,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,3,1
Remy's Spuddies,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,5
Reza’s Hole,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,7
Shag Carpet,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,3
Lava Lamp,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2.5,2
Baby's First Solo,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
Open Project 1,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,0,0
Cave Cudi,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,3.5,2
Open Project 2,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,0,0
Climbin in Sperrys,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1.5,6
Jitterbug Jive,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1.5,5
Reel-ly Retired,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,3
Keel Hulled,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,1
Floating Bridges,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,2
In Transit,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2,1
Walk the Plank,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,1.5,4
Pinocchio's Whale,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,2
Flight Pattern,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
Polly,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,1.5,4
The Parrot,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,2.5,6
Caller ID,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2.5,3
Gettin' Dirty With It,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2.5,4
Renegade,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,3,1
The Dirty Dozen,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,3,4
The Monarch,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,1,1
Old warmup route?,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1.5,4
Short Changed,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
The Dangler,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,3,2
Garden Path,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2,1
Unnamed,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,3
Asymptomatic,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
Bracken,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
Bend and Stretch,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,3,1
Fernie Sanders,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,2
Intersectionality,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2,1
Monologue,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,4,2,1
The lesser line,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
The better line,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,1,2,1
She is very gorgeous to me,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,1.5,4
Garburator,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,3.5,5
La Basura,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,2,2,1
B.T.S.M.,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,3,3.5,4
Marsh Salad,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,1,1
Golden Mouth of Ruin,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,5,3,2
"Rest day, best day",Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,12
“Let’s make our own line”,Mrg Southeast Aka Darkside,Mad River Gorge & Nature Preserve,0,2.5,7
“Let’s make our own line”,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,2.5,7
Feather Star,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,3,39
The Surfing Raptor,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,9
Feather Galaxy,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,11
Everything is Matter,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,3,22
Chundercling,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,42
Ape Index Apparatus,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,3
Feather Universe,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,5
Gaston Bone,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,3,15
Pufferfish Plunge,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,2.5,5
Riptide,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,2.5,6
Crinoid Temps,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,2.5,5
Shark Week,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,3.5,58
Turd Burglar,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,2.5,19
Beach Patrol,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,3.5,2
Michael Jordyno,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,2.5,4
Remora,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,5,2.5,15
Fossilized,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,6,4,1
Crinoid Temptations,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,6,2,8
Greenhorn,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,2,16
Rough Riders Ride Again,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,2,19
New Endeavors,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,1.5,3
Trigger's Tricks,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,17
Pearl-Handled Revolvers,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,22
Saddle Point,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,5,2,2
Ollivanders,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,3,3
Burkes,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,5
Borgin,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,2.5,5
Leviosa,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,3,2
Zen-N,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,3,2
Mug Thug,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,3,1
UP!,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2,3
E-Z Path,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,1.5,4
Finger Twist,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2,4
Busted,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,2.5,5
Mixtape,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,5,2.5,8
Bad Astrology,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,2,1
On The Cusp,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,1,1
Telekinized,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,5,3,1
Relatable Mystics,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,6,2,1
Skin-Walker,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,7,3,1
Associate's,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,1,1
High Score,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,0,2,1
GLG101,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2,1
Recess,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,1,1
Fall Break,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,3.5,3
Bachelor's,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,3,3,1
Master's,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,4,4,1
The Lighthouse,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,3
Washed Up,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,2,2.5,3
Hidden Gems,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,8
Buried Treasure,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2.5,10
Billy Bones Last Words,Mrg Southwest Aka Western Wetlands,Mad River Gorge & Nature Preserve,1,2,6
