name,sub_area,area,grade,star_count,popular
Marvin's Mantle,The Orb,Rocktown,1,2.5,4
The Easy Way Out,The Orb,Rocktown,1,3,49
African Death Bed,The Orb,Rocktown,1,2.5,13
Magic Mantle,The Orb,Rocktown,2,2.5,5
Trouble,The Orb,Rocktown,4,3.5,113
Wasatch,The Orb,Rocktown,4,2.5,5
Double Trouble,The Orb,Rocktown,5,2.5,6
The Impaler,The Orb,Rocktown,5,3,3
The Orb,The Orb,Rocktown,8,4,44
The Orb Direct,The Orb,Rocktown,9,2.5,5
Gumption,The Orb,Rocktown,10,2,1
Harbor Wave,The Orb,Rocktown,2,2.5,4
Tsunami,The Orb,Rocktown,2,3.5,11
The Locker,The Orb,Rocktown,3,3,2
Brown Shield,The Orb,Rocktown,3,2,2
Jug Surfin',The Orb,Rocktown,4,2.5,38
Isle of the Beautiful Women,The Orb,Rocktown,4,3.5,53
Pasty Faced Weirdos,The Orb,Rocktown,4,3.5,8
Dookie Traverse,The Orb,Rocktown,5,1,6
Majora,The Orb,Rocktown,5,3,17
Hairlining,The Orb,Rocktown,5,2,5
Turkish Resin,The Orb,Rocktown,6,2.5,12
Discharge,Vagina Area,Rocktown,7,1,1
The Vagina,Vagina Area,Rocktown,8,4,25
Digital Scales,Vagina Area,Rocktown,9,3,3
Speculum,Vagina Area,Rocktown,10,3,1
The Womb,Vagina Area,Rocktown,10,3.5,2
Scoop Left,Vagina Area,Rocktown,1,2.5,11
Imaginary Pathway,Vagina Area,Rocktown,2,2.5,3
Swatfalizer,Vagina Area,Rocktown,3,2,1
The Scoop,Vagina Area,Rocktown,3,3.5,219
Mr. McSween,Vagina Area,Rocktown,4,3.5,2
Anti-Scoop,Vagina Area,Rocktown,4,2.5,37
The Hobbit,Vagina Area,Rocktown,5,3.5,34
Full Circle,Vagina Area,Rocktown,5,3.5,52
Diamond Circle,Vagina Area,Rocktown,6,3.5,3
Full Circle Low (Right) Start,Vagina Area,Rocktown,6,3.5,6
Diamond Circle Low,Vagina Area,Rocktown,7,4,2
Choctaw Sundial,Vagina Area,Rocktown,8,3.5,26
Fire in the Mountain,Vagina Area,Rocktown,12,4,1
20 Feet of Fun,Vagina Area,Rocktown,1,3,13
