name,sub_area,area,grade,star_count,popular
Eight Foot Eggshell,South Side Area,Ute Valley Park,0,2.5,4
Southeast Arete,South Side Area,Ute Valley Park,1,2,24
Man Overboard,South Side Area,Ute Valley Park,3,3,6
Cupcake,South Side Area,Ute Valley Park,4,2,7
[Redacted],South Side Area,Ute Valley Park,4,2.5,14
Floater aka Center Route,South Side Area,Ute Valley Park,5,3.5,79
Left El Jeffe,South Side Area,Ute Valley Park,6,3.5,3
Chick Floater,South Side Area,Ute Valley Park,6,3,27
Chick Power,South Side Area,Ute Valley Park,7,3.5,12
Pungase,South Side Area,Ute Valley Park,8,3.5,36
Smoker's Paradise Project,South Side Area,Ute Valley Park,9,3,2
Downclimb,South Side Area,Ute Valley Park,0,1.5,15
Northwest Arete,South Side Area,Ute Valley Park,1,2,43
Fred's Mantel aka Easy Mantel,South Side Area,Ute Valley Park,1,2,31
South Face,South Side Area,Ute Valley Park,1,2.5,3
Freelander,South Side Area,Ute Valley Park,2,1.5,13
Barb Wire,South Side Area,Ute Valley Park,2,1.5,27
Low Traverse,South Side Area,Ute Valley Park,3,2.5,4
Wedgie aka The Cube Problem,South Side Area,Ute Valley Park,4,3.5,88
Atomic Wedgie,South Side Area,Ute Valley Park,5,3.5,25
Rain Dance,South Side Area,Ute Valley Park,6,3,11
Paper Thin Airplanes,South Side Area,Ute Valley Park,7,1.5,3
Stalactite,South Side Area,Ute Valley Park,2,2,50
The Wave,South Side Area,Ute Valley Park,2,2.5,82
V0 aka Crack 1,South Side Area,Ute Valley Park,0,2,33
Huecos!,South Side Area,Ute Valley Park,0,2.5,4
Unknown Face,South Side Area,Ute Valley Park,1,2,3
Thing Behind The Wedge aka The H…,South Side Area,Ute Valley Park,1,2.5,35
The Rail,South Side Area,Ute Valley Park,1,2.5,54
Silver Child,South Side Area,Ute Valley Park,2,2.5,37
KNS Crack,South Side Area,Ute Valley Park,2,2,3
HangTooth,South Side Area,Ute Valley Park,3,2,2
Stop Making Sense,South Side Area,Ute Valley Park,3,1,5
Thrice Commitments,South Side Area,Ute Valley Park,4,2.5,6
Left Overhanging Arete,South Side Area,Ute Valley Park,5,2,7
Overhanging Arete,South Side Area,Ute Valley Park,6,3,43
The Alive Dyno,South Side Area,Ute Valley Park,6,3,13
